,,,,,,ProStream OUT,,,BB IN (163),,,,,,,,BB OUT (162),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SD720х576/ HD1920х1080,HIGH,SD640х480,MED,SD320х240/ HD1280х720,LOW,,,,,,,,
#,Канал,,фронтенд,вещает,записывается,Multicast address,port,SRC address,Multicast address,port,SRC address,source IN,визуальное качество IN,визуальное качество OUT,Res,AR,Multicast address,Port,Multicast address,Port,Multicast address,Port,SRC address,TS Port,url,,,,,Новый домен
channel_num,channel_name_ru,refname,,stream_fe,dvr_fe,prostream_mc_address,prostream_mc_port,prostream_mc_src_address,mc_in_address,mc_in_port,,,,,resolution,aspect_ratio,mc_1_out_address,mc_1_out_port,mc_2_out_address,mc_2_out_port,mc_3_out_address,mc_3_out_port,mc_out_src_address,ts_port,,,,,,
31,Mezzo ,mezzo,fe01,sfe1,,,,,239.32.0.40,5000,,,,удовлетворительно,704x576,16:9,228.8.10.12,10012,228.8.9.12,9012,228.8.8.12,8012,,17031,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:mezzo_sd.smil/playlist.m3u8,,228.8.8.12:8012,228.8.9.12:9012,228.8.10.12:10012,sfe1
32,NHK (NHK World TV),nhkworldtv,fe02,sfe1,,,,,239.32.0.17,5014,,,,удовлетворительно,720x576,4:3,228.8.10.66,10066,228.8.9.66,9066,228.8.8.66,8066,,17032,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:nhkworldtv_sd.smil/playlist.m3u8,,228.8.8.66:8066,228.8.9.66:9066,228.8.10.66:10066,sfe2
33,National Geographic,ngc,fe02,sfe1,sfe1,,,,239.255.50.107,1234,,,,удовлетворительно,704x576,4:3,228.8.10.48,10048,228.8.9.48,9048,228.8.8.48,8048,,17033,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:ngc_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_ngc_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.48:8048,228.8.9.48:9048,228.8.10.48:10048,sfe2
34,Russia Today,russiatoday,fe02,sfe4,,,,,239.255.50.201,1234,,,,удовлетворительно,544x576,4:3,228.8.10.9,10009,228.8.9.9,9009,228.8.8.9,8009,,17034,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:russiatoday_sd.smil/playlist.m3u8,,228.8.8.9:8009,228.8.9.9:9009,228.8.10.9:10009,sfe4
35,TV XXI Век,tvxxivek,fe02,sfe4,sfe4,,,,239.255.50.44,1234,,,,удовлетворительно,720x576,4:3,228.8.10.13,10013,228.8.9.13,9013,228.8.8.13,8013,,17035,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:tvxxivek_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_tvxxivek_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.13:8013,228.8.9.13:9013,228.8.10.13:10013,sfe4
36,Travel channel,travel,fe02,sfe4,sfe4,,,,224.1.1.20,6000,,,,удовлетворительно,720x576,4:3,228.8.10.16,10016,228.8.9.16,9016,228.8.8.16,8016,,17036,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:travel_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_travel_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.16:8016,228.8.9.16:9016,228.8.10.16:10016,sfe4
37,ZooПарк,zoopark,fe02,sfe4,,,,,239.2.255.68,2020,,,,удовлетворительно,704x576,4:3,228.8.10.17,10017,228.8.9.17,9017,228.8.8.17,8017,,17037,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:zoopark_sd.smil/playlist.m3u8,,228.8.8.17:8017,228.8.9.17:9017,228.8.10.17:10017,sfe4
38,Ocean TV,oceantv,fe02,sfe4,,,,,239.255.50.61,1234,,,,удовлетворительно,720x576,4:3,228.8.10.24,10024,228.8.9.24,9024,228.8.8.24,8024,,17038,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:oceantv_sd.smil/playlist.m3u8,,228.8.8.24:8024,228.8.9.24:9024,228.8.10.24:10024,sfe4
39,Deutsche Welle,deutschewelle,fe02,sfe4,,,,,239.32.0.34,5030,,,удовлетворительно,удовлетворительно,720x576,16:9,228.8.10.31,10031,228.8.9.31,9031,228.8.8.31,8031,,17039,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:deutschewelle_sd.smil/playlist.m3u8,,228.8.8.31:8031,228.8.9.31:9031,228.8.10.31:10031,sfe4
40,Ностальгия,nostalgia,fe02,sfe4,sfe4,,,,239.32.0.24,5021,,,удовлетворительно,удовлетворительно,704x576,4:3,228.8.10.62,10062,228.8.9.62,9062,228.8.8.62,8062,,17040,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:nostalgia_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_nostalgia_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.62:8062,228.8.9.62:9062,228.8.10.62:10062,sfe4
